iter	Logloss
0	0.569634184
1	0.4684531318
2	0.3941314136
3	0.3219513117
4	0.2684245013
5	0.2225610056
6	0.1932264916
7	0.1716611503
8	0.1441617991
9	0.1217518687
10	0.1070818267
11	0.09382409954
12	0.08308072472
13	0.07754877856
14	0.07102090529
15	0.0645540872
16	0.06106076474
17	0.05616171965
18	0.05191851337
19	0.04858582114
20	0.04633861703
21	0.04391241153
22	0.04143406606
23	0.0400227986
24	0.03868970251
25	0.03799304466
26	0.03600670571
27	0.03472066265
28	0.03390960985
29	0.03317114199
30	0.03244001452
31	0.03144478923
32	0.03093876388
33	0.03040460743
34	0.02950154834
35	0.02873639007
36	0.02837920442
37	0.02796032288
38	0.02746075853
39	0.02682506595
40	0.02612031519
41	0.02564522685
42	0.02539102473
43	0.02517209103
44	0.02494910461
45	0.02467251815
46	0.02446093262
47	0.02407220258
48	0.02374659223
49	0.02330216524
50	0.02262286573
51	0.02242131159
52	0.02215451916
53	0.02187127959
54	0.02162639988
55	0.02142962946
56	0.02128506557
57	0.02104244125
58	0.02088585269
59	0.02066925462
60	0.02050813688
61	0.02032770044
62	0.01974033677
63	0.01930412497
64	0.01913560639
65	0.01904200482
66	0.01870731327
67	0.01836231171
68	0.01796827791
69	0.01783627923
70	0.01771462468
71	0.01754741995
72	0.01723752862
73	0.0171152032
74	0.01703908775
75	0.0169885126
76	0.0168724082
77	0.01680999932
78	0.01670979245
79	0.01659265227
80	0.01649035523
81	0.01647070548
82	0.01641514121
83	0.01617978881
84	0.01605884986
85	0.01601069664
86	0.01596655656
87	0.01575689427
88	0.01565652541
89	0.01555727068
90	0.01551870442
91	0.01547041907
92	0.01538486756
93	0.01528966506
94	0.01522901023
95	0.01514401013
96	0.01507396632
97	0.01486962496
98	0.01483184701
99	0.0147267477
100	0.01471151697
101	0.0146614027
102	0.01441491693
103	0.01437852464
104	0.01429497235
105	0.01422709574
106	0.01417973648
107	0.0141586878
108	0.01411250743
109	0.01410391778
110	0.01402559558
111	0.01398966583
112	0.01396738151
113	0.0139308414
114	0.01385556875
115	0.01380189377
116	0.0135883301
117	0.01351225104
118	0.01349741737
119	0.01331633112
120	0.01324193122
121	0.01322527655
122	0.01318177953
123	0.0131654502
124	0.01309784467
125	0.01304427276
126	0.01299499875
127	0.01288173676
128	0.01282910594
129	0.01280230559
130	0.01277202369
131	0.01275106073
132	0.01272493813
133	0.01271623058
134	0.01267752917
135	0.01264804468
136	0.01261296137
137	0.01249962079
138	0.01246961326
139	0.01242642392
140	0.01239684854
141	0.01237596187
142	0.0123740232
143	0.01231138889
144	0.01222986287
145	0.01213357866
146	0.01210167176
147	0.0120902991
148	0.01200863543
149	0.01200367517
150	0.01198885002
151	0.01196502097
152	0.011882327
153	0.01186421936
154	0.01181118793
155	0.01179475231
156	0.01167508643
157	0.01163075585
158	0.01146584956
159	0.01140352019
160	0.01136619774
161	0.01133232632
162	0.01119663072
163	0.01117777279
164	0.01117154285
165	0.01116526006
166	0.01115927246
167	0.01100209823
168	0.01097164874
169	0.01095558928
170	0.01094720113
171	0.01094407384
172	0.01083377116
173	0.01081418035
174	0.01081174725
175	0.01080098083
176	0.0107803563
177	0.01076050223
178	0.01074007883
179	0.01068150718
180	0.0106312535
181	0.01062045644
182	0.01055731975
183	0.01053163983
184	0.01050733472
185	0.01050158342
186	0.01048030998
187	0.0104523377
